"","frtn","rf"
"1988-01-04",0.01062593,0.0002333333
"1988-01-05",0.001149992,0.0002353175
"1988-01-06",0.008532983,0.000231746
"1988-01-07",-0.03307591,0.0002293651
"1988-01-08",0.01692549,0.0002329365
"1988-01-11",-0.008150309,0.0002257937
"1988-01-12",0.001729954,0.0002305556
"1988-01-13",0.0004317416,0.0002297619
"1988-01-14",0.02520283,0.0002333333
"1988-01-15",-0.0005051355,0.0002333333
"1988-01-18",-0.01002358,0.0002333333
"1988-01-19",-0.02671658,0.0002365079
"1988-01-20",0.002272926,0.0002305556
"1988-01-21",0.01395552,0.0002309524
"1988-01-22",0.02313978,0.0002305556
"1988-01-25",-0.0101732,0.0002313492
"1988-01-26",-0.0005945808,0.0002309524
"1988-01-27",0.01580826,0.0002277778
"1988-01-28",0.01506024,0.0002253968
"1988-01-29",-0.007748104,0.0002238095
"1988-02-01",0.002242897,0.0002246032
"1988-02-02",-0.01301285,0.0002265873
"1988-02-03",0.0001679543,0.0002265873
"1988-02-04",-0.004869857,0.0002242063
"1988-02-05",-0.007256159,0.0002238095
"1988-02-08",0.01070882,0.0002238095
"1988-02-09",0.01976118,0.0002222222
"1988-02-10",-0.00263874,0.000222619
"1988-02-11",0.006696982,0.0002234127
"1988-02-12",0.00870565,0.0002281746
"1988-02-16",-0.002279759,0.0002281746
"1988-02-17",-0.00489636,0.0002277778
"1988-02-18",0.01451534,0.0002257937
"1988-02-19",0.01552017,0.0002253968
"1988-02-22",-0.002149168,0.0002246032
"1988-02-23",-0.002074027,0.0002234127
"1988-02-24",-0.01071143,0.0002230159
"1988-02-25",0.003555268,0.0002234127
"1988-02-26",0.0205314,0.0002218254
"1988-02-29",-0.002130178,0.0002230159
"1988-03-01",0.003004428,0.0002230159
"1988-03-02",-0.0002364812,0.000222619
"1988-03-03",-0.002049988,0.0002222222
"1988-03-04",0.000474046,0.0002265873
"1988-03-07",0.007818053,0.0002269841
"1988-03-08",-0.001253722,0.0002277778
"1988-03-09",-0.01930017,0.000227381
"1988-03-10",0.00432,0.0002281746
"1988-03-11",0.005575912,0.000227381
"1988-03-14",-0.000792142,0.0002261905
"1988-03-15",0.009592516,0.000222619
"1988-03-16",0.009736945,0.000222619
"1988-03-17",-0.0002332996,0.0002222222
"1988-03-18",-0.008634101,0.0002246032
"1988-03-21",0.0004707729,0.0002277778
"1988-03-22",0.0003921261,0.0002293651
"1988-03-23",-0.02053935,0.0002313492
"1988-03-24",-0.01824876,0.0002297619
"1988-03-25",-0.001548997,0.0002261905
"1988-03-28",0.007920307,0.0002277778
"1988-03-29",-0.007534025,0.0002277778
"1988-03-30",0.00326504,0.0002281746
"1988-03-31",-0.01065821,0.0002265873
"1988-04-04",0.009621711,0.0002321429
"1988-04-05",0.02712389,0.0002380952
"1988-04-06",0.002696273,0.0002400794
"1988-04-07",0.01241696,0.0002400794
"1988-04-08",0.00281228,0.0002388889
"1988-04-11",0.004673989,0.0002396825
"1988-04-12",0.0008529115,0.0002353175
"1988-04-13",-0.03320126,0.0002325397
"1988-04-14",0.0002429543,0.0002277778
"1988-04-15",-0.002024128,0.0002333333
"1988-04-18",-0.004867759,0.0002321429
"1988-04-19",-0.006766672,0.0002305556
"1988-04-20",0.001231224,0.000231746
"1988-04-21",0.01467454,0.0002313492
"1988-04-22",0.009049043,0.0002313492
"1988-04-25",0.005765073,0.0002321429
"1988-04-26",-0.000318446,0.000234127
"1988-04-27",-0.004380027,0.0002329365
"1988-04-28",-0.004719245,0.0002365079
"1988-04-29",0.0009643977,0.0002373016
"1988-05-02",0.005700522,0.0002412698
"1988-05-03",-0.01005908,0.000243254
"1988-05-04",-0.005725806,0.0002436508
"1988-05-05",-0.004947684,0.0002452381
"1988-05-06",-0.003505054,0.0002496032
"1988-05-09",0.004417178,0.0002503968
"1988-05-10",-0.01661373,0.0002515873
"1988-05-11",0.002236025,0.0002484127
"1988-05-12",0.0117336,0.0002464286
"1988-05-13",0.00767723,0.0002452381
"1988-05-16",-0.01272491,0.0002460317
"1988-05-17",-0.01559806,0.00025
"1988-05-18",0.005003753,0.0002464286
"1988-05-19",0.001908555,0.0002440476
"1988-05-20",-0.008530727,0.000247619
"1988-05-23",0.01085958,0.0002480159
"1988-05-24",0.001156929,0.0002503968
"1988-05-25",0.003549319,0.0002511905
"1988-05-26",-0.004606021,0.0002547619
"1988-05-27",0.03413602,0.0002555556
"1988-05-31",0.01741075,0.0002551587
"1988-06-01",-0.004945443,0.000256746
"1988-06-02",0.004417797,0.0002555556
"1988-06-03",0.002356268,0.0002563492
"1988-06-06",-0.006895471,0.0002563492
